Raw data column name ,Short column name,Description
7.6.8. Radiologically-confirmed TB [bacteriological unconfirmed] Total,n.radiologic.tb.age.grp.total,
7.6.9. Bacteriologically-confirmed TB 0-14,n.bacteriological.tb.age.grp.1,
7.6.9. Bacteriologically-confirmed TB 15-24,n.bacteriological.tb.age.grp.2,
7.6.9. Bacteriologically-confirmed TB 25-34,n.bacteriological.tb.age.grp.3,
7.6.9. Bacteriologically-confirmed TB 35-44,n.bacteriological.tb.age.grp.4,
7.6.9. Bacteriologically-confirmed TB 45-54,n.bacteriological.tb.age.grp.5,
7.6.9. Bacteriologically-confirmed TB 55-64,n.bacteriological.tb.age.grp.6,
7.6.9. Bacteriologically-confirmed TB 65+,n.bacteriological.tb.age.grp.7,
7.6.9. Bacteriologically-confirmed TB Total,n.bacteriological.tb.age.grp.total,
7.6.10. Sputum smear-positive TB 0-14,n.smear.positive.tb.age.grp.1,
7.6.10. Sputum smear-positive TB 15-24,n.smear.positive.tb.age.grp.2,
7.6.10. Sputum smear-positive TB 25-34,n.smear.positive.tb.age.grp.3,
7.6.10. Sputum smear-positive TB 35-44,n.smear.positive.tb.age.grp.4,
7.6.10. Sputum smear-positive TB 45-54,n.smear.positive.tb.age.grp.5,
7.6.10. Sputum smear-positive TB 55-64,n.smear.positive.tb.age.grp.6,
7.6.10. Sputum smear-positive TB 65+,n.smear.positive.tb.age.grp.7,
7.6.10. Sputum smear-positive TB Total,n.smear.positive.tb.age.grp.total,
7.6.11. Culture-positive TB 0-14,n.culture.positive.tb.age.grp.1,
7.6.11. Culture-positive TB 15-24,n.culture.positive.tb.age.grp.2,
7.6.11. Culture-positive TB 25-34,n.culture.positive.tb.age.grp.3,
7.6.11. Culture-positive TB 35-44,n.culture.positive.tb.age.grp.4,
7.6.11. Culture-positive TB 45-54,n.culture.positive.tb.age.grp.5,
7.6.11. Culture-positive TB 55-64,n.culture.positive.tb.age.grp.6,
7.6.11. Culture-positive TB 65+,n.culture.positive.tb.age.grp.7,
7.6.11. Culture-positive TB Total,n.culture.positive.tb.age.grp.total,
7.6.12. Prevalent TB 0-14,n.prevalent.tb.age.grp.1,
7.6.12. Prevalent TB 15-24,n.prevalent.tb.age.grp.2,
7.6.12. Prevalent TB 25-34,n.prevalent.tb.age.grp.3,
7.6.12. Prevalent TB 35-44,n.prevalent.tb.age.grp.4,
7.6.12. Prevalent TB 45-54,n.prevalent.tb.age.grp.5,
7.6.12. Prevalent TB 55-64,n.prevalent.tb.age.grp.6,
7.6.12. Prevalent TB 65+,n.prevalent.tb.age.grp.7,
7.6.12. Prevalent TB Total,n.prevalent.tb.age.grp.total,
"7.6.13. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) 0-14",prev100K.bacteriological.tb.age.grp.1,
"7.6.13. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) 15-24",prev100K.bacteriological.tb.age.grp.2,
"7.6.13. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) 25-34",prev100K.bacteriological.tb.age.grp.3,
"7.6.13. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) 35-44",prev100K.bacteriological.tb.age.grp.4,
"7.6.13. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) 45-54",prev100K.bacteriological.tb.age.grp.5,
"7.6.13. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) 55-64",prev100K.bacteriological.tb.age.grp.6,
"7.6.13. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) 65+",prev100K.bacteriological.tb.age.grp.7,
"7.6.13. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) Total",prev100K.bacteriological.tb.age.grp.total,
7.6.14. [Crude] Confidence Interval of 7.6.13 0-14,prev100K.CI.bacteriological.tb.age.grp.1,
7.6.14. [Crude] Confidence Interval of 7.6.13 15-24,prev100K.CI.bacteriological.tb.age.grp.2,
7.6.14. [Crude] Confidence Interval of 7.6.13 25-34,prev100K.CI.bacteriological.tb.age.grp.3,
7.6.14. [Crude] Confidence Interval of 7.6.13 35-44,prev100K.CI.bacteriological.tb.age.grp.4,
7.6.14. [Crude] Confidence Interval of 7.6.13 45-54,prev100K.CI.bacteriological.tb.age.grp.5,
7.6.14. [Crude] Confidence Interval of 7.6.13 55-64,prev100K.CI.bacteriological.tb.age.grp.6,
7.6.14. [Crude] Confidence Interval of 7.6.13 65+,prev100K.CI.bacteriological.tb.age.grp.7,
7.6.14. [Crude] Confidence Interval of 7.6.13 Total,prev100K.CI.bacteriological.tb.age.grp.total,
"7.6.15. [Crude] Prevalence of sputum smear-positive TB (per 100,000) 0-14",prev100K.smear.positive.tb.age.grp.1,
"7.6.15. [Crude] Prevalence of sputum smear-positive TB (per 100,000) 15-24",prev100K.smear.positive.tb.age.grp.2,
"7.6.15. [Crude] Prevalence of sputum smear-positive TB (per 100,000) 25-34",prev100K.smear.positive.tb.age.grp.3,
"7.6.15. [Crude] Prevalence of sputum smear-positive TB (per 100,000) 35-44",prev100K.smear.positive.tb.age.grp.4,
"7.6.15. [Crude] Prevalence of sputum smear-positive TB (per 100,000) 45-54",prev100K.smear.positive.tb.age.grp.5,
"7.6.15. [Crude] Prevalence of sputum smear-positive TB (per 100,000) 55-64",prev100K.smear.positive.tb.age.grp.6,
"7.6.15. [Crude] Prevalence of sputum smear-positive TB (per 100,000) 65+",prev100K.smear.positive.tb.age.grp.7,
"7.6.15. [Crude] Prevalence of sputum smear-positive TB (per 100,000) Total",prev100K.smear.positive.tb.age.grp.total,
7.6.16. [Crude] Confidence Interval of 7.6.15 0-14,prev100K.CI.smear.positive.tb.age.grp.1,
7.6.16. [Crude] Confidence Interval of 7.6.15 15-24,prev100K.CI.smear.positive.tb.age.grp.2,
7.6.16. [Crude] Confidence Interval of 7.6.15 25-34,prev100K.CI.smear.positive.tb.age.grp.3,
7.6.16. [Crude] Confidence Interval of 7.6.15 35-44,prev100K.CI.smear.positive.tb.age.grp.4,
7.6.16. [Crude] Confidence Interval of 7.6.15 45-54,prev100K.CI.smear.positive.tb.age.grp.5,
7.6.16. [Crude] Confidence Interval of 7.6.15 55-64,prev100K.CI.smear.positive.tb.age.grp.6,
7.6.16. [Crude] Confidence Interval of 7.6.15 65+,prev100K.CI.smear.positive.tb.age.grp.7,
7.6.16. [Crude] Confidence Interval of 7.6.15 Total,prev100K.CI.smear.positive.tb.age.grp.total,
"7.6.17. [Crude] Prevalence of all forms of TB (per 100,000) 0-14",prev100K.all.prevalent.tb.age.grp.1,
"7.6.17. [Crude] Prevalence of all forms of TB (per 100,000) 15-24",prev100K.all.prevalent.tb.age.grp.2,
"7.6.17. [Crude] Prevalence of all forms of TB (per 100,000) 25-34",prev100K.all.prevalent.tb.age.grp.3,
"7.6.17. [Crude] Prevalence of all forms of TB (per 100,000) 35-44",prev100K.all.prevalent.tb.age.grp.4,
"7.6.17. [Crude] Prevalence of all forms of TB (per 100,000) 45-54",prev100K.all.prevalent.tb.age.grp.5,
"7.6.17. [Crude] Prevalence of all forms of TB (per 100,000) 55-64",prev100K.all.prevalent.tb.age.grp.6,
"7.6.17. [Crude] Prevalence of all forms of TB (per 100,000) 65+",prev100K.all.prevalent.tb.age.grp.7,
"7.6.17. [Crude] Prevalence of all forms of TB (per 100,000) Total",prev100K.all.prevalent.tb.age.grp.total,
7.6.18. [Crude] Confidence Interval of 7.6.17 0-14,prev100K.CI.all.prevalent.tb.age.grp.1,
7.6.18. [Crude] Confidence Interval of 7.6.17 15-24,prev100K.CI.all.prevalent.tb.age.grp.2,
7.6.18. [Crude] Confidence Interval of 7.6.17 25-34,prev100K.CI.all.prevalent.tb.age.grp.3,
7.6.18. [Crude] Confidence Interval of 7.6.17 35-44,prev100K.CI.all.prevalent.tb.age.grp.4,
7.6.18. [Crude] Confidence Interval of 7.6.17 45-54,prev100K.CI.all.prevalent.tb.age.grp.5,
7.6.18. [Crude] Confidence Interval of 7.6.17 55-64,prev100K.CI.all.prevalent.tb.age.grp.6,
7.6.18. [Crude] Confidence Interval of 7.6.17 65+,prev100K.CI.all.prevalent.tb.age.grp.7,
7.6.18. [Crude] Confidence Interval of 7.6.17 Total,prev100K.CI.all.prevalent.tb.age.grp.total,
"7.6.19. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) 0-14",adj.prev100K.bacteriological.tb.age.grp.1,
"7.6.19. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) 15-24",adj.prev100K.bacteriological.tb.age.grp.2,
"7.6.19. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) 25-34",adj.prev100K.bacteriological.tb.age.grp.3,
"7.6.19. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) 35-44",adj.prev100K.bacteriological.tb.age.grp.4,
"7.6.19. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) 45-54",adj.prev100K.bacteriological.tb.age.grp.5,
"7.6.19. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) 55-64",adj.prev100K.bacteriological.tb.age.grp.6,
"7.6.19. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) 65+",adj.prev100K.bacteriological.tb.age.grp.7,
"7.6.19. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) Total",adj.prev100K.bacteriological.tb.age.grp.total,
7.6.20. [Adjusted] Confidence Interval of 7.6.19 0-14,adj.prev100K.CI.bacteriological.tb.age.grp.1,
7.6.20. [Adjusted] Confidence Interval of 7.6.19 15-24,adj.prev100K.CI.bacteriological.tb.age.grp.2,
7.6.20. [Adjusted] Confidence Interval of 7.6.19 25-34,adj.prev100K.CI.bacteriological.tb.age.grp.3,
7.6.20. [Adjusted] Confidence Interval of 7.6.19 35-44,adj.prev100K.CI.bacteriological.tb.age.grp.4,
7.6.20. [Adjusted] Confidence Interval of 7.6.19 45-54,adj.prev100K.CI.bacteriological.tb.age.grp.5,
7.6.20. [Adjusted] Confidence Interval of 7.6.19 55-64,adj.prev100K.CI.bacteriological.tb.age.grp.6,
7.6.20. [Adjusted] Confidence Interval of 7.6.19 65+,adj.prev100K.CI.bacteriological.tb.age.grp.7,
7.6.20. [Adjusted] Confidence Interval of 7.6.19 Total,adj.prev100K.CI.bacteriological.tb.age.grp.total,
"7.6.21. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) 0-14",adj.prev100K.smear.positive.tb.age.grp.1,
"7.6.21. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) 15-24",adj.prev100K.smear.positive.tb.age.grp.2,
"7.6.21. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) 25-34",adj.prev100K.smear.positive.tb.age.grp.3,
"7.6.21. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) 35-44",adj.prev100K.smear.positive.tb.age.grp.4,
"7.6.21. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) 45-54",adj.prev100K.smear.positive.tb.age.grp.5,
"7.6.21. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) 55-64",adj.prev100K.smear.positive.tb.age.grp.6,
"7.6.21. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) 65+",adj.prev100K.smear.positive.tb.age.grp.7,
"7.6.21. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) Total",adj.prev100K.smear.positive.tb.age.grp.total,
7.6.22. [Adjusted] Confidence Interval of 7.6.21 0-14,adj.prev100K.CI.smear.positive.tb.age.grp.1,
7.6.22. [Adjusted] Confidence Interval of 7.6.21 15-24,adj.prev100K.CI.smear.positive.tb.age.grp.2,
7.6.22. [Adjusted] Confidence Interval of 7.6.21 25-34,adj.prev100K.CI.smear.positive.tb.age.grp.3,
7.6.22. [Adjusted] Confidence Interval of 7.6.21 35-44,adj.prev100K.CI.smear.positive.tb.age.grp.4,
7.6.22. [Adjusted] Confidence Interval of 7.6.21 45-54,adj.prev100K.CI.smear.positive.tb.age.grp.5,
7.6.22. [Adjusted] Confidence Interval of 7.6.21 55-64,adj.prev100K.CI.smear.positive.tb.age.grp.6,
7.6.22. [Adjusted] Confidence Interval of 7.6.21 65+,adj.prev100K.CI.smear.positive.tb.age.grp.7,
7.6.22. [Adjusted] Confidence Interval of 7.6.21 Total,adj.prev100K.CI.smear.positive.tb.age.grp.total,
"7.6.23 [Adjusted] Prevalence of all forms of TB (per 100,000) 0-14",adj.prev100K.all.prevalent.tb.age.grp.1,
"7.6.23 [Adjusted] Prevalence of all forms of TB (per 100,000) 15-24",adj.prev100K.all.prevalent.tb.age.grp.2,
"7.6.23 [Adjusted] Prevalence of all forms of TB (per 100,000) 25-34",adj.prev100K.all.prevalent.tb.age.grp.3,
"7.6.23 [Adjusted] Prevalence of all forms of TB (per 100,000) 35-44",adj.prev100K.all.prevalent.tb.age.grp.4,
"7.6.23 [Adjusted] Prevalence of all forms of TB (per 100,000) 45-54",adj.prev100K.all.prevalent.tb.age.grp.5,
"7.6.23 [Adjusted] Prevalence of all forms of TB (per 100,000) 55-64",adj.prev100K.all.prevalent.tb.age.grp.6,
"7.6.23 [Adjusted] Prevalence of all forms of TB (per 100,000) 65+",adj.prev100K.all.prevalent.tb.age.grp.7,
"7.6.23 [Adjusted] Prevalence of all forms of TB (per 100,000) Total",adj.prev100K.all.prevalent.tb.age.grp.total,
7.6.24. [Adjusted] Confidence Interval of 7.6.23 0-14,adj.prev100K.CI.all.prevalent.tb.age.grp.1,
7.6.24. [Adjusted] Confidence Interval of 7.6.23 15-24,adj.prev100K.CI.all.prevalent.tb.age.grp.2,
7.6.24. [Adjusted] Confidence Interval of 7.6.23 25-34,adj.prev100K.CI.all.prevalent.tb.age.grp.3,
7.6.24. [Adjusted] Confidence Interval of 7.6.23 35-44,adj.prev100K.CI.all.prevalent.tb.age.grp.4,
7.6.24. [Adjusted] Confidence Interval of 7.6.23 45-54,adj.prev100K.CI.all.prevalent.tb.age.grp.5,
7.6.24. [Adjusted] Confidence Interval of 7.6.23 55-64,adj.prev100K.CI.all.prevalent.tb.age.grp.6,
7.6.24. [Adjusted] Confidence Interval of 7.6.23 65+,adj.prev100K.CI.all.prevalent.tb.age.grp.7,
7.6.24. [Adjusted] Confidence Interval of 7.6.23 Total,adj.prev100K.CI.all.prevalent.tb.age.grp.total,
Does this study report results by both sex and urban/rural stratification?,report.sex.and.rurality,
7.7. Results (by sex and rurality):,results.sex.and.rurality,
7.7.1. Eligible participants Male - Urban,n.eligible.male.urban,
7.7.1. Eligible participants Female - Urban,n.eligible.female.urban,
7.7.1. Eligible participants Male - Rural,n.eligible.male.rural,
7.7.1. Eligible participants Female - Rural,n.eligible.female.rural,
7.7.1. Eligible participants Total,n.eligible.total.sex.rurality,
7.7.2. Participants Male - Urban,n.participants.male.urban,
7.7.2. Participants Female - Urban,n.participants.female.urban,
7.7.2. Participants Male - Rural,n.participants.male.rural,
7.7.2. Participants Female - Rural,n.participants.female.rural,
7.7.2. Participants Total,n.participants.total.sex.rurality,
7.7.3. People with presumptive TB Male - Urban,n.presumptive.tb.male.urban,
7.7.3. People with presumptive TB Female - Urban,n.presumptive.tb.female.urban,
7.7.3. People with presumptive TB Male - Rural,n.presumptive.tb.male.rural,
7.7.3. People with presumptive TB Female - Rural,n.presumptive.tb.female.rural,
7.7.3. People with presumptive TB Total,n.presumptive.tb.total.sex.rurality,
7.7.4. People with TB symptoms  Male - Urban,n.symptoms.male.urban,
7.7.4. People with TB symptoms  Female - Urban,n.symptoms.female.urban,
7.7.4. People with TB symptoms  Male - Rural,n.symptoms.male.rural,
7.7.4. People with TB symptoms  Female - Rural,n.symptoms.female.rural,
7.7.4. People with TB symptoms  Total,n.symptoms.total.sex.rurality,
7.7.5. People with abnormal chest X-ray Male - Urban,n.abnormal.xray.male.urban,
7.7.5. People with abnormal chest X-ray Female - Urban,n.abnormal.xray.female.urban,
7.7.5. People with abnormal chest X-ray Male - Rural,n.abnormal.xray.male.rural,
7.7.5. People with abnormal chest X-ray Female - Rural,n.abnormal.xray.female.rural,
7.7.5. People with abnormal chest X-ray Total,n.abnormal.xray.total.sex.rurality,
7.7.6. Persons with successful sputum samples Male - Urban,n.sputum.sample.male.urban,
7.7.6. Persons with successful sputum samples Female - Urban,n.sputum.sample.female.urban,
7.7.6. Persons with successful sputum samples Male - Rural,n.sputum.sample.male.rural,
7.7.6. Persons with successful sputum samples Female - Rural,n.sputum.sample.female.rural,
7.7.6. Persons with successful sputum samples Total,n.sputum.sample.total.sex.rurality,
7.7.7. Radiologically-confirmed TB [bacteriological unconfirmed] Male - Urban,n.radiologic.tb.male.urban,
7.7.7. Radiologically-confirmed TB [bacteriological unconfirmed] Female - Urban,n.radiologic.tb.female.urban,
7.7.7. Radiologically-confirmed TB [bacteriological unconfirmed] Male - Rural,n.radiologic.tb.male.rural,
7.7.7. Radiologically-confirmed TB [bacteriological unconfirmed] Female - Rural,n.radiologic.tb.female.rural,
7.7.7. Radiologically-confirmed TB [bacteriological unconfirmed] Total,n.radiologic.tb.total.sex.rurality,
7.7.8. Bacteriologically-confirmed TB Male - Urban,n.bacteriological.tb.male.urban,
7.7.8. Bacteriologically-confirmed TB Female - Urban,n.bacteriological.tb.female.urban,
7.7.8. Bacteriologically-confirmed TB Male - Rural,n.bacteriological.tb.male.rural,
7.7.8. Bacteriologically-confirmed TB Female - Rural,n.bacteriological.tb.female.rural,
7.7.8. Bacteriologically-confirmed TB Total,n.bacteriological.tb.total.sex.rurality,
7.7.9. Sputum smear-positive TB Male - Urban,n.smear.positive.tb.male.urban,
7.7.9. Sputum smear-positive TB Female - Urban,n.smear.positive.tb.female.urban,
7.7.9. Sputum smear-positive TB Male - Rural,n.smear.positive.tb.male.rural,
7.7.9. Sputum smear-positive TB Female - Rural,n.smear.positive.tb.female.rural,
7.7.9. Sputum smear-positive TB Total,n.smear.positive.tb.total.sex.rurality,
7.7.10. Culture-positive TB Male - Urban,n.culture.positive.tb.male.urban,
7.7.10. Culture-positive TB Female - Urban,n.culture.positive.tb.female.urban,
7.7.10. Culture-positive TB Male - Rural,n.culture.positive.tb.male.rural,
7.7.10. Culture-positive TB Female - Rural,n.culture.positive.tb.female.rural,
7.7.10. Culture-positive TB Total,n.culture.positive.tb.total.sex.rurality,
7.7.11. Prevalent TB Male - Urban,n.prevalent.tb.male.urban,
7.7.11. Prevalent TB Female - Urban,n.prevalent.tb.female.urban,
7.7.11. Prevalent TB Male - Rural,n.prevalent.tb.male.rural,
7.7.11. Prevalent TB Female - Rural,n.prevalent.tb.female.rural,
7.7.11. Prevalent TB Total,n.prevalent.tb.total.sex.rurality,
"7.7.12. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) Male - Urban",prev100K.bacteriological.tb.male.urban,
"7.7.12. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) Female - Urban",prev100K.bacteriological.tb.female.urban,
"7.7.12. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) Male - Rural",prev100K.bacteriological.tb.male.rural,
"7.7.12. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) Female - Rural",prev100K.bacteriological.tb.female.rural,
"7.7.12. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) Total",prev100K.bacteriological.tb.total.sex.rurality,
7.7.13. [Crude] Confidence Interval of 7.7.12 Male - Urban,prev100K.ci.bacteriological.tb.male.urban,
7.7.13. [Crude] Confidence Interval of 7.7.12 Female - Urban,prev100K.ci.bacteriological.tb.female.urban,
7.7.13. [Crude] Confidence Interval of 7.7.12 Male - Rural,prev100K.ci.bacteriological.tb.male.rural,
7.7.13. [Crude] Confidence Interval of 7.7.12 Female - Rural,prev100K.ci.bacteriological.tb.female.rural,
7.7.13. [Crude] Confidence Interval of 7.7.12 Total,prev100K.ci.bacteriological.tb.total.sex.rurality,
"7.7.14. [Crude] Prevalence of sputum smear-positive TB (per 100,000) Male - Urban",prev100K.smear.positive.tb.male.urban,
"7.7.14. [Crude] Prevalence of sputum smear-positive TB (per 100,000) Female - Urban",prev100K.smear.positive.tb.female.urban,
"7.7.14. [Crude] Prevalence of sputum smear-positive TB (per 100,000) Male - Rural",prev100K.smear.positive.tb.male.rural,
"7.7.14. [Crude] Prevalence of sputum smear-positive TB (per 100,000) Female - Rural",prev100K.smear.positive.tb.female.rural,
"7.7.14. [Crude] Prevalence of sputum smear-positive TB (per 100,000) Total",prev100K.smear.positive.tb.total.sex.rurality,
7.7.15. [Crude] Confidence Interval of 7.7.14 Male - Urban,prev100K.ci.smear.positive.tb.male.urban,
7.7.15. [Crude] Confidence Interval of 7.7.14 Female - Urban,prev100K.ci.smear.positive.tb.female.urban,
7.7.15. [Crude] Confidence Interval of 7.7.14 Male - Rural,prev100K.ci.smear.positive.tb.male.rural,
7.7.15. [Crude] Confidence Interval of 7.7.14 Female - Rural,prev100K.ci.smear.positive.tb.female.rural,
7.7.15. [Crude] Confidence Interval of 7.7.14 Total,prev100K.ci.smear.positive.tb.total.sex.rurality,
"7.7.16. [Crude] Prevalence of all forms of TB (per 100,000) Male - Urban",prev100K.all.prevalent.tb.male.urban,
"7.7.16. [Crude] Prevalence of all forms of TB (per 100,000) Female - Urban",prev100K.all.prevalent.tb.female.urban,
"7.7.16. [Crude] Prevalence of all forms of TB (per 100,000) Male - Rural",prev100K.all.prevalent.tb.male.rural,
"7.7.16. [Crude] Prevalence of all forms of TB (per 100,000) Female - Rural",prev100K.all.prevalent.tb.female.rural,
"7.7.16. [Crude] Prevalence of all forms of TB (per 100,000) Total",prev100K.all.prevalent.tb.total.sex.rurality,
7.7.17. [Crude] Confidence Interval of 7.7.16 Male - Urban,prev100K.ci.all.prevalent.tb.male.urban,
7.7.17. [Crude] Confidence Interval of 7.7.16 Female - Urban,prev100K.ci.all.prevalent.tb.female.urban,
7.7.17. [Crude] Confidence Interval of 7.7.16 Male - Rural,prev100K.ci.all.prevalent.tb.male.rural,
7.7.17. [Crude] Confidence Interval of 7.7.16 Female - Rural,prev100K.ci.all.prevalent.tb.female.rural,
7.7.17. [Crude] Confidence Interval of 7.7.16 Total,prev100K.ci.all.prevalent.tb.total.sex.rurality,
"7.7.18. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) Male - Urban",adj.prev100K.bacteriological.tb.male.urban,
"7.7.18. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) Female - Urban",adj.prev100K.bacteriological.tb.female.urban,
"7.7.18. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) Male - Rural",adj.prev100K.bacteriological.tb.male.rural,
"7.7.18. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) Female - Rural",adj.prev100K.bacteriological.tb.female.rural,
"7.7.18. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) Total",adj.prev100K.bacteriological.tb.total.sex.rurality,
7.7.19. [Adjusted] Confidence Interval of 7.7.18 Male - Urban,adj.prev100K.ci.bacteriological.tb.male.urban,
7.7.19. [Adjusted] Confidence Interval of 7.7.18 Female - Urban,adj.prev100K.ci.bacteriological.tb.female.urban,
7.7.19. [Adjusted] Confidence Interval of 7.7.18 Male - Rural,adj.prev100K.ci.bacteriological.tb.male.rural,
7.7.19. [Adjusted] Confidence Interval of 7.7.18 Female - Rural,adj.prev100K.ci.bacteriological.tb.female.rural,
7.7.19. [Adjusted] Confidence Interval of 7.7.18 Total,adj.prev100K.ci.bacteriological.tb.total.sex.rurality,
"7.7.20. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) Male - Urban",adj.prev100K.smear.positive.tb.male.urban,
"7.7.20. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) Female - Urban",adj.prev100K.smear.positive.tb.female.urban,
"7.7.20. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) Male - Rural",adj.prev100K.smear.positive.tb.male.rural,
"7.7.20. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) Female - Rural",adj.prev100K.smear.positive.tb.female.rural,
"7.7.20. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) Total",adj.prev100K.smear.positive.tb.total.sex.rurality,
7.7.21. [Adjusted] Confidence Interval of 7.7.20 Male - Urban,adj.prev100K.ci.smear.positive.tb.male.urban,
7.7.21. [Adjusted] Confidence Interval of 7.7.20 Female - Urban,adj.prev100K.ci.smear.positive.tb.female.urban,
7.7.21. [Adjusted] Confidence Interval of 7.7.20 Male - Rural,adj.prev100K.ci.smear.positive.tb.male.rural,
7.7.21. [Adjusted] Confidence Interval of 7.7.20 Female - Rural,adj.prev100K.ci.smear.positive.tb.female.rural,
7.7.21. [Adjusted] Confidence Interval of 7.7.20 Total,adj.prev100K.ci.smear.positive.tb.total.sex.rurality,
"7.7.22 [Adjusted] Prevalence of all forms of TB (per 100,000) Male - Urban",adj.prev100K.all.prevalent.tb.male.urban,
"7.7.22 [Adjusted] Prevalence of all forms of TB (per 100,000) Female - Urban",adj.prev100K.all.prevalent.tb.female.urban,
"7.7.22 [Adjusted] Prevalence of all forms of TB (per 100,000) Male - Rural",adj.prev100K.all.prevalent.tb.male.rural,
"7.7.22 [Adjusted] Prevalence of all forms of TB (per 100,000) Female - Rural",adj.prev100K.all.prevalent.tb.female.rural,
"7.7.22 [Adjusted] Prevalence of all forms of TB (per 100,000) Total",adj.prev100K.all.prevalent.tb.total.sex.rurality,
7.7.23. [Adjusted] Confidence Interval of 7.7.22 Male - Urban,adj.prev100K.ci.all.prevalent.tb.male.urban,
7.7.23. [Adjusted] Confidence Interval of 7.7.22 Female - Urban,adj.prev100K.ci.all.prevalent.tb.female.urban,
7.7.23. [Adjusted] Confidence Interval of 7.7.22 Male - Rural,adj.prev100K.ci.all.prevalent.tb.male.rural,
7.7.23. [Adjusted] Confidence Interval of 7.7.22 Female - Rural,adj.prev100K.ci.all.prevalent.tb.female.rural,
7.7.23. [Adjusted] Confidence Interval of 7.7.22 Total,adj.prev100K.ci.all.prevalent.tb.total.sex.rurality,
7.8. Additional comments on results and/or data availability,data.availability.comments,
7.9. List any additional references that should be examined for inclusion in this systematic review,additional.references,
"8.1. Was the study’s sample population a true or close representation of the target population in relation to relevant variables, e.g., age, sex, occupation?",study.quality.representative,
8.2. Was some form of random selection used to select the sample or was a census undertaken?,study.quality.random.selection,
8.3. Was the likelihood of non-response bias minimal?,study.quality.nonresponse,
8.4. Were data collected directly from subjects (as opposed to a proxy)?,study.quality.direct.data.collect,
8.5. Was an acceptable case definition used in the study?,study.quality.case.definition,
"8.6. Was the study instrument that measured the parameter of interest shown to have reliability and validity (i.e., diagnostic methods)?",study.quality.valid.instrument,
8.7. Was the same mode of data collection used for all subjects?,study.quality.same.data.collect,
8.8. Were the numerator and denominator for the parameter of interest appropriate?,study.quality.numerator.denominator,
8.9. Summary item on the overall risk of bias (based on 8.1-8.8),study.quality.summary,
8.10. Additional comments on study quality,study.quality.comments,
